,Movie_name,Movie_release_date,Wikipedia_link,Running_time,Budget(USD),Box_office(USD),Running_time(in minutes)
0,Snow White and the Seven Dwarfs,"December 21, 1937",https://en.m.wikipedia.org/wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),83 minutes,1.49 M,418 M,83 
1,Pinocchio,"February 7, 1940",https://en.m.wikipedia.org/wiki/Pinocchio_(1940_film),88 minutes,2.6 M,164 M,88 
2,Fantasia,"November 13, 1940",https://en.m.wikipedia.org/wiki/Fantasia_(1940_film),126 minutes,2.28 M,76.4–83.3 M ,126 
3,The Reluctant Dragon,"June 20, 1941",https://en.m.wikipedia.org/wiki/The_Reluctant_Dragon_(1941_film),74 minutes,"600,000","960,000 ",74 
4,Dumbo,"October 23, 1941",https://en.m.wikipedia.org/wiki/Dumbo,64 minutes,"950,000",1.3 M ,64 
5,Bambi,"August 13, 1942",https://en.m.wikipedia.org/wiki/Bambi,70 minutes,"858,000",267.4 M,70 
6,Victory Through Air Power,"July 17, 1943",https://en.m.wikipedia.org/wiki/Victory_Through_Air_Power_(film),70 min,"788,000","799,000",70 
7,Make Mine Music,"April 20, 1946",https://en.m.wikipedia.org/wiki/Make_Mine_Music,75 minutes,1.35 M,3.275 M ,75 
8,Song of the South,"November 12, 1946",https://en.m.wikipedia.org/wiki/Song_of_the_South,94 minutes,2.125 M,65 M,94 
9,Melody Time,"May 27, 1948",https://en.m.wikipedia.org/wiki/Melody_Time,75 minutes,1.5 M,2.56 M ,75 
10,So Dear to My Heart,"November 29, 1948",https://en.m.wikipedia.org/wiki/So_Dear_to_My_Heart,82 minutes,1.5 M,3.7 M ,82 
11,Cinderella,"February 15, 1950",https://en.m.wikipedia.org/wiki/Cinderella_(1950_film),74 minutes,2.2 M,263.6 M,74 
12,Treasure Island,"July 29, 1950",https://en.m.wikipedia.org/wiki/Treasure_Island_(1950_film),96 minutes,"1,800,000","4,100,000 ",96 
13,Alice in Wonderland,"July 28, 1951",https://en.m.wikipedia.org/wiki/Alice_in_Wonderland_(1951_film),75 minutes,3 M,"['2.4 M (1951, domestic)', '3.5 M (1974, domestic)']",75 
14,Peter Pan,"February 5, 1953",https://en.m.wikipedia.org/wiki/Peter_Pan_(1953_film),77 minutes,4 M,87.4 M ,77 
15,The Sword and the Rose,"July 23, 1953",https://en.m.wikipedia.org/wiki/The_Sword_and_the_Rose,92 minutes,2 M,1 M ,92 
16,The Living Desert,"November 10, 1953",https://en.m.wikipedia.org/wiki/The_Living_Desert,69 minutes,"300,000",2.6 M ,69 
17,"20,000 Leagues Under the Sea","December 23, 1954","https://en.m.wikipedia.org/wiki/20,000_Leagues_Under_the_Sea_(1954_film)",127 minutes,5 M,28.2 M,127 
18,Lady and the Tramp,"June 22, 1955",https://en.m.wikipedia.org/wiki/Lady_and_the_Tramp,76 minutes,4 M,187 M,76 
19,Sleeping Beauty,"January 29, 1959",https://en.m.wikipedia.org/wiki/Sleeping_Beauty_(1959_film),75 minutes,6 M,51.6 M ,75 
20,The Shaggy Dog,"March 19, 1959",https://en.m.wikipedia.org/wiki/The_Shaggy_Dog_(1959_film),104 minutes,"under 1 M or 1,250,000",12.3 M ,104 
21,Third Man on the Mountain,"November 10, 1959",https://en.m.wikipedia.org/wiki/Third_Man_on_the_Mountain,105 minutes,2 M,"1,700,000 ",105 
22,Pollyanna,"May 19, 1960",https://en.m.wikipedia.org/wiki/Pollyanna_(1960_film),134 minutes,2.5 M,3.75 M ,134 
23,Swiss Family Robinson,"December 21, 1960",https://en.m.wikipedia.org/wiki/Swiss_Family_Robinson_(1960_film),131 minutes,4 M,40 M,131 
24,One Hundred and One Dalmatians,"January 25, 1961",https://en.m.wikipedia.org/wiki/One_Hundred_and_One_Dalmatians,79 minutes,3.6 M,303 M,79 
25,Babes in Toyland,"December 14, 1961",https://en.m.wikipedia.org/wiki/Babes_in_Toyland_(1961_film),105 minutes,3 M,4.6 M ,105 
26,Bon Voyage!,"May 17, 1962",https://en.m.wikipedia.org/wiki/Bon_Voyage!_(1962_film),130 minutes,3 M,5 M ,130 
27,The Sword in the Stone,"December 25, 1963",https://en.m.wikipedia.org/wiki/The_Sword_in_the_Stone_(1963_film),79 minutes,3 M,22.2 M ,79 
28,Mary Poppins,"August 29, 1964",https://en.m.wikipedia.org/wiki/Mary_Poppins_(film),139 minutes,4.4–6 M,103.1 M,139 
29,The Jungle Book,"October 18, 1967",https://en.m.wikipedia.org/wiki/The_Jungle_Book_(1967_film),78 minutes,4 M,378 M,78 
